id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
44639845,7085604688,653996703,109.10447756337557,1,3,0,2,0,"LINESTRING(91.8292246 26.1709567, 91.8290381 26.1705726, 91.8287422 26.1700783)"
44639845,653996703,6709233444,478.06610899275086,1,3,0,2,0,"LINESTRING(91.8287422 26.1700783, 91.8282370 26.1692341, 91.8271717 26.1675055, 91.8265411 26.1664270, 91.8264401 26.1663165)"
44639845,6709233444,5592313831,126.12695992435113,1,3,0,2,0,"LINESTRING(91.8264401 26.1663165, 91.8256396 26.1654404)"
44639845,5592313831,7071678324,175.70657170302644,1,3,0,2,0,"LINESTRING(91.8256396 26.1654404, 91.8254929 26.1652797, 91.8244671 26.1642643)"
44639845,7071678324,4974677869,137.38030021755026,1,3,0,2,0,"LINESTRING(91.8244671 26.1642643, 91.8243338 26.1641324, 91.8235459 26.1633481)"
44639845,4974677869,4974677871,209.29721862771487,1,3,0,2,0,"LINESTRING(91.8235459 26.1633481, 91.8220713 26.1620127)"
44639845,4974677871,4974677896,340.1971887643575,1,3,0,2,0,"LINESTRING(91.8220713 26.1620127, 91.8215748 26.1615691, 91.8208738 26.1609427, 91.8205098 26.1606435, 91.8200177 26.1602389, 91.8195896 26.1599230)"
44639845,4974677896,653996680,162.412583543736,1,3,0,2,0,"LINESTRING(91.8195896 26.1599230, 91.8190757 26.1595735, 91.8186581 26.1593823, 91.8181860 26.1592046)"
44639845,653996680,6158502933,46.40196079708571,1,3,0,2,0,"LINESTRING(91.8181860 26.1592046, 91.8179395 26.1591097, 91.8177573 26.1590444)"
44639845,6158502933,4979352225,199.9740829968431,1,3,0,2,0,"LINESTRING(91.8177573 26.1590444, 91.8172367 26.1589015, 91.8169015 26.1588582, 91.8159627 26.1588750, 91.8157836 26.1588837)"
44639845,4979352225,4974703731,45.095230600020166,1,3,0,2,0,"LINESTRING(91.8157836 26.1588837, 91.8154879 26.1588979, 91.8153327 26.1588989)"
44639845,4974703731,4890745840,205.53719278968794,1,3,0,2,0,"LINESTRING(91.8153327 26.1588989, 91.8140424 26.1589068, 91.8136494 26.1588643, 91.8132968 26.1587610)"
44639845,4890745840,6158502919,293.4497584538232,1,3,0,2,0,"LINESTRING(91.8132968 26.1587610, 91.8131282 26.1587116, 91.8128215 26.1585916, 91.8123755 26.1583589, 91.8120996 26.1582163, 91.8118682 26.1579986, 91.8118055 26.1579185, 91.8117581 26.1577697, 91.8116556 26.1574461, 91.8115205 26.1570668, 91.8114738 26.1569336)"
